"Add to Cart","Add to Cart"
"After native cross-sells block","After native cross-sells block"
"After native Related Products block","After native Related Products block"
"Aheadworks Extensions","Aheadworks Extensions"
"Aheadworks Who Bought This Also Bought","Aheadworks Who Bought This Also Bought"
"Before native cross-sells block","Before native cross-sells block"
"Before native Related Products block","Before native Related Products block"
"Block at Cart Page","Block at Cart Page"
"Block at Catalog Page","Block at Catalog Page"
"Block at Product Page","Block at Product Page"
"Block Layout","Block Layout"
"Block Name","Block Name"
"Block Position","Block Position"
"Content bottom","Content bottom"
"Content top","Content top"
"Display ""Add to Cart"" Button","Display ""Add to Cart"" Button"
"Display Block at Cart Page","Display Block at Cart Page"
"Display Block at Catalog Page","Display Block at Catalog Page"
"Display Block at Product Page","Display Block at Product Page"
"Instead of native cross-sells block","Instead of native cross-sells block"
"Instead of native Related Products block","Instead of native Related Products block"
"In stock","In stock"
"Max Products to Display","Max Products to Display"
"Out of stock","Out of stock"
"Products aligned in multiple rows","Products aligned in multiple rows"
"Products aligned in single row","Products aligned in single row"
"Purchased products index","Purchased products index"
"Slider","Slider"
"Who Bought This Also Bought","Who Bought This Also Bought"
"Who Bought This Also Bought by Aheadworks","Who Bought This Also Bought by Aheadworks"
